name,path_to_cbg,id
三月兔,https://patchwiki.biligame.com/images/dwrg/1/1f/oni8hmey6spb1ltv25je6dmwpd240pr.png,9302
黑白熊,https://patchwiki.biligame.com/images/dwrg/2/21/26serhdgj6n86a6uhdofm5yrn9kjdsa.png,9309
点金,https://patchwiki.biligame.com/images/dwrg/c/c5/m49hl5ekddnavruoirk7hp9a6swyzsz.png,8402
当铺老板,https://patchwiki.biligame.com/images/dwrg/8/8a/6alp8y3g12zxdb3y10hfti5a56xtvo4.png,8418
逃罪之人,https://patchwiki.biligame.com/images/dwrg/3/30/90q12f5nz2nd3r4r63muexfz3pz72pc.png,10802
舞狮,https://patchwiki.biligame.com/images/dwrg/2/2e/rrriltj85jjg59n4a347sjg1rde9d39.png,1619
铁钩船长,https://patchwiki.biligame.com/images/dwrg/d/d1/mxunjn43juyytyln8j2c9qx558mquvh.png,9002
CROW,https://patchwiki.biligame.com/images/dwrg/2/2c/6eoevdxem2cxft4g503yvgfvqs9zcvw.png,9006
Checkmate,https://patchwiki.biligame.com/images/dwrg/8/81/dkkc4kdplzcvyovbco24pocmz23v8x3.png,10102
“夜魔”,https://patchwiki.biligame.com/images/dwrg/c/cd/2c4ylj1scw9mumsqrbuk1flvx11nbnv.png,10113
炎火之怒,https://patchwiki.biligame.com/images/dwrg/1/16/oxx2jad77cl4b8imgnfa2o9pv2l9m75.png,8002
猎物的印记,https://patchwiki.biligame.com/images/dwrg/1/1c/2xo0t5skm3lrembier2ifb7on055p82.png,13503
白泽,https://patchwiki.biligame.com/images/dwrg/a/ae/j6smjkjculv35cbu9cnkndccr6pnr8p.png,12103
招风旗,https://patchwiki.biligame.com/images/dwrg/3/34/heb0beuxxbbllbirmp2g82fzmdz9iou.png,12108
巴萨丽莎,https://patchwiki.biligame.com/images/dwrg/b/b7/c19hxp39ejfzruvssvf9vifjupa5kzf.png,12902
永夜极光,https://patchwiki.biligame.com/images/dwrg/3/38/9y9x0nwxof0n4lpvrvk6h9qmhqepv7f.png,6332
壹原侑子,https://patchwiki.biligame.com/images/dwrg/a/a0/j9l4qu4k61yu4zqdw904dcfntvwqes9.png,6338
海神之冕,https://patchwiki.biligame.com/images/dwrg/8/81/kimalmsijtlyg42w1a2wt8sbpnm1pp8.png,6403
灾厄之主,https://patchwiki.biligame.com/images/dwrg/7/75/q090lem69xkohci504ivvesfxllh2ls.png,6422
赤宴,https://patchwiki.biligame.com/images/dwrg/4/4c/egkpliuvsfks0ur9ndwismwj8p5tiny.png,8502
黄金比例,https://patchwiki.biligame.com/images/dwrg/7/7b/mt8ghhjvi0nnsgoj8zcbku1tcuk0tjw.png,10402
纳西瑟斯,https://patchwiki.biligame.com/images/dwrg/e/e6/1ros1at5s9e0n2iowbvynfa9hk1hrpj.png,10410
灵狐,https://patchwiki.biligame.com/images/dwrg/2/27/frgdk3f99tn6wjgfa337bj5wvjwouzh.png,13902
邪眼寄主,https://patchwiki.biligame.com/images/dwrg/c/c2/c0u6os17fic0dorv9vl3p3bssixi986.png,120
艾札克·佛斯特,https://patchwiki.biligame.com/images/dwrg/2/28/hcfdpnipolypx6r20f4ndnzjdc7xtau.png,140
心锁,https://patchwiki.biligame.com/images/dwrg/c/cb/bd4qpe9hb44wxd7e24a27r32i3mu2vp.png,3440
明日之辉,https://patchwiki.biligame.com/images/dwrg/b/b1/7xj7lpwnzlk6gc6gun0zl2di9cljuol.png,6809
惊鸿,https://patchwiki.biligame.com/images/dwrg/1/1e/4ltyo4d4dmfihtbc76pgwwgg273psce.png,6839
名誉首席,https://patchwiki.biligame.com/images/dwrg/3/33/kuunca9fqq59ozx6ge1zkeill10em0z.png,6849
熔岩蛋糕,https://patchwiki.biligame.com/images/dwrg/0/0b/6sg3gmlyt1py3umztra70keba4wg1fc.png,10602
永恒,https://patchwiki.biligame.com/images/dwrg/b/b0/0emb2sdmwx6utpyz50pfnwjbrx617l2.png,12402
赤松枫,https://patchwiki.biligame.com/images/dwrg/a/ac/ho53wdnv9ltqclzrpe7148fo5cl2q7e.png,12405
寒香舞,https://patchwiki.biligame.com/images/dwrg/f/f0/bk211papu5sijra0lz8774916sz98w6.png,3227
菖蒲,https://patchwiki.biligame.com/images/dwrg/a/ab/mg1zotdt38wnhfq7stfi2pq7zcwx3g0.png,3237
引魂人,https://patchwiki.biligame.com/images/dwrg/6/69/pj7vmpe7dl6y82p2f5z33v2jmz8y5rd.png,8703
日向创,https://patchwiki.biligame.com/images/dwrg/1/1d/rvnx3ifd1bk02ia1ji8vhma7fbmowkn.png,8719
中原中也,https://patchwiki.biligame.com/images/dwrg/d/dd/rthh03psqztgn0hibjm3ld9qdz6ksja.png,8726
索菲亚,https://patchwiki.biligame.com/images/dwrg/e/ef/pv4o8sdwx8h61zjiyiynip8wtcwsr12.png,10002
穆希卡,https://patchwiki.biligame.com/images/dwrg/d/d9/d9xdxg56hpr9pqo8372fnsow4x9490p.png,10010
箜篌,https://patchwiki.biligame.com/images/dwrg/7/7d/kxp0l0uhzvoddirmpk7i2tr2u7gnl14.png,10017
欺惑之燕,https://patchwiki.biligame.com/images/dwrg/a/af/e8a5le0vp9r3cbqenulylf6zdfrpib3.png,11502
倒逆之汞,https://patchwiki.biligame.com/images/dwrg/c/c0/of6id3wvbfc84b81bttwn5twg363x6v.png,1533
金匠,https://patchwiki.biligame.com/images/dwrg/7/78/j0r4a10q2lvj92qcr8mo8vwffpk0jm1.png,1908
熔铁猎犬,https://patchwiki.biligame.com/images/dwrg/7/7b/hxyeh1y0df2exrfzdlpho2djup0d7l9.png,1916
怒火,https://patchwiki.biligame.com/images/dwrg/8/8b/bevsw4vp0y1dicrru0dbz971cza6c89.png,11202
荧,https://patchwiki.biligame.com/images/dwrg/c/c5/qykkzgn4cg4oprc35zo9hrdhe551yj8.png,13103
岩鸽,https://patchwiki.biligame.com/images/dwrg/5/50/c6mmbkkfgko70qwmbjtqxhcoivi473y.png,2132
黄金蛋糕,https://patchwiki.biligame.com/images/dwrg/0/00/s9gin85n5pn9prvkhs91h3uybhtphx0.png,6206
瓦姬特,https://patchwiki.biligame.com/images/dwrg/3/3b/d7itc6u004gpkicuh9s1ub8s4wjj5ou.png,8102
川上富江,https://patchwiki.biligame.com/images/dwrg/7/7f/df07t377ties20klzeegcf2jn2f9k3k.png,8105
信使,https://patchwiki.biligame.com/images/dwrg/e/e7/jj2e60xgbgcxk6gkex41yy9jsqegmwm.png,8118
KING-h1,https://patchwiki.biligame.com/images/dwrg/7/7f/cwcoqdta3oimwcz3dcepnomd1xki2ro.png,13403
国王的裁缝,https://patchwiki.biligame.com/images/dwrg/7/7a/imrudeeoi4ogkap0cv7gmiwbm5czw4q.png,7302
结晶体,https://patchwiki.biligame.com/images/dwrg/3/32/1yw99476hqwjkpm1tu5w6lk0db05023.png,8602
三面神,https://patchwiki.biligame.com/images/dwrg/0/0f/a84inr113whgwia5kh5ttpt6sda8a3w.png,10302
速滑种子,https://patchwiki.biligame.com/images/dwrg/5/51/bexh7fwzlro8sqcreq2atrjk0zwagig.png,5933
蝰,https://patchwiki.biligame.com/images/dwrg/b/b4/5bxfpqi2xxyj8v9xz1oxadbsl3a7uoz.png,9702
太宰治,https://patchwiki.biligame.com/images/dwrg/b/bc/67hpex9q9w36omyzvkn6cmhmmredldx.png,9721
驱魔人,https://patchwiki.biligame.com/images/dwrg/0/00/db7sqeanu7ans5yf1rlqef871le0jrg.png,7902
神眷,https://patchwiki.biligame.com/images/dwrg/4/4f/r7d64fl5achg9nnnr8l1dty45hxrjuj.png,6602
东风遥,https://patchwiki.biligame.com/images/dwrg/c/c1/koinkv84gncwnvb01wg1xgy3v08nu3p.png,6607
亘古双星,https://patchwiki.biligame.com/images/dwrg/5/54/6o2nenffaz59b53cp7mt1pjxubguh32.png,6622
总裁判长,https://patchwiki.biligame.com/images/dwrg/d/de/4j0vt04qlfpibssuwc3rf5tfc0ncso6.png,7419
亡灵之主,https://patchwiki.biligame.com/images/dwrg/9/95/81q1bj9l62j4xr4goygavrcd8vgd6kc.png,7428
白松露,https://patchwiki.biligame.com/images/dwrg/7/79/s9yty2l6tw8kzr64jq08rhe7smsefkn.png,9502
日落黄沙,https://patchwiki.biligame.com/images/dwrg/e/e6/1wxjqotp623f9x8mkcou1ipu47mjoh3.png,9605
蚀日者,https://patchwiki.biligame.com/images/dwrg/9/99/g4xqnd7h0uvwyqsno99d85mjzhij9i7.png,12602
哲人石,https://patchwiki.biligame.com/images/dwrg/0/0c/d8zxfvbqe4w4ne2k0iboa0yjh18k8nk.png,12611
墨菲斯的门廊,https://patchwiki.biligame.com/images/dwrg/1/19/9fpa6h24aazfmuc0c6x46legluvg301.png,13602
珊瑚夫人,https://patchwiki.biligame.com/images/dwrg/5/5d/2rcjk0gc364jtjo7cns6213ijrx9ai3.png,7202
鸽子般的尤迪特,https://patchwiki.biligame.com/images/dwrg/7/7c/dhprmopep0bf3jht9kcqg6g6j5gqim8.png,7244
裁决之酒,https://patchwiki.biligame.com/images/dwrg/8/8c/efbmzoxwchbu4zmpz68px4z32vpwjoa.png,9102
驯兽师,https://patchwiki.biligame.com/images/dwrg/9/94/hk7wx9ow2u84h8hd02vfngqpeefh54p.png,3606
克罗托,https://patchwiki.biligame.com/images/dwrg/d/d5/qptqite02676rjr9mtvjxve68xex9iz.png,3621
晖之羽,https://patchwiki.biligame.com/images/dwrg/5/5d/5tk9nl06yony7o83i27jkbvm9tq4dsx.png,10702
异界行者,https://patchwiki.biligame.com/images/dwrg/d/d5/6ssr541jlnx991il8rnikyqnk34rv28.png,223
变脸王,https://patchwiki.biligame.com/images/dwrg/f/fb/tcixeoglwd168mn9niknitg88ryxwd4.png,230
夜行枭,https://patchwiki.biligame.com/images/dwrg/8/8b/3jd63sby1g1vf6npkid1kglvip506ps.png,7802
怪盗基德,https://patchwiki.biligame.com/images/dwrg/b/bb/1zsegl67579sf05zisufnehs2jab3xs.png,7821
芥川龙之介,https://patchwiki.biligame.com/images/dwrg/1/15/ffbwma0snso6v7xtwt19x03nvygo9g2.png,7830
炼狱奏曲,https://patchwiki.biligame.com/images/dwrg/c/c2/ixxnehmzygz1bfgp6rf8s9zoj9dhzhq.png,9802
苍鹭之翼,https://patchwiki.biligame.com/images/dwrg/8/86/q4yiserowyrws6egj8taq2nwqhmhgt8.png,11002
恶之源,https://patchwiki.biligame.com/images/dwrg/5/53/f8m18isjgcvs4uvffx7rhy2sai132gk.png,11102
空,https://patchwiki.biligame.com/images/dwrg/b/b1/4xe5cvwfs480fgk0hjsv1bq2z4pve0i.png,11303
试运者,https://patchwiki.biligame.com/images/dwrg/1/12/kpvi1lgsf7moo5kas4wm0g6m0h1dymm.png,1438
宇宙女巫,https://patchwiki.biligame.com/images/dwrg/b/bf/8dtytstb556gfsnu07hn3z956cucymf.png,1736
红衣人,https://patchwiki.biligame.com/images/dwrg/e/ee/k8jiy41rgnwxr113qu91d6btp9a8zgn.png,2527
中岛敦,https://patchwiki.biligame.com/images/dwrg/4/4c/mzwjpqf2jhqn3e9aihebft5pvrxj9to.png,2534
珍奇柜,https://patchwiki.biligame.com/images/dwrg/0/04/nrq012xyi2rgqotapscg7r0uwuta3dg.png,2540
大英雄,https://patchwiki.biligame.com/images/dwrg/8/84/2k2lfpko5rslwdhqn3989r4152v8pbh.png,8802
初拥,https://patchwiki.biligame.com/images/dwrg/b/b7/dl01jb72126lvjatmghhkc393ik3835.png,9402
圣诞信使,https://patchwiki.biligame.com/images/dwrg/7/77/4epx01twnwaj79e45jnnqz0lne1ubip.png,9420
静默之戟,https://patchwiki.biligame.com/images/dwrg/e/e7/bovftomp11gvxec78h2gx1np3yjds6w.png,10902
典狱长,https://patchwiki.biligame.com/images/dwrg/3/38/41a05cap2kf4qbltjzous10vay1rw7d.png,12702
罪恶熔火,https://patchwiki.biligame.com/images/dwrg/d/d4/5mrxdoc4jsj4v6svobn21fc9z9ry3s1.png,13302
黄金烛台,https://patchwiki.biligame.com/images/dwrg/8/81/fohzn63kh1y22imp4rm9syet3v8tk6s.png,6007
“宿命”,https://patchwiki.biligame.com/images/dwrg/1/17/7hq6vhzcsk706fz7lc7w94t5af1vreg.png,8302
陌路仙踪,https://patchwiki.biligame.com/images/dwrg/2/22/37n7woyzeoqwq693lnps60usl1animc.png,8316
JOKER,https://patchwiki.biligame.com/images/dwrg/0/09/bpsdfd27zxqn8e9vimu56uw9996bbhr.png,8903
雨燕先生,https://patchwiki.biligame.com/images/dwrg/e/e8/8vesvshrhmigd1wgsvf29iwjewyafh9.png,8904
猎龙者,https://patchwiki.biligame.com/images/dwrg/f/fb/l7scdu6sxvk2q1mguq2b3vphq13murp.png,11403
伊莎贝拉,https://patchwiki.biligame.com/images/dwrg/9/98/de5i51198x6pdsiqac1tfeto1q628g8.png,8517
灰云,https://patchwiki.biligame.com/images/dwrg/f/f2/5ca18u2j8pod41v4pdsxksipqj894c1.png,14002
十三娘,https://patchwiki.biligame.com/images/dwrg/e/ec/1dieuo5fpeyv6wk12q8ytc7nirokpmv.png,6328
推理先生,https://patchwiki.biligame.com/images/dwrg/5/5a/ltkb9dj0n6to3dcna5ubnitx61gbe2w.png,2521
真相小姐,https://patchwiki.biligame.com/images/dwrg/1/18/mekblji44nomseify97qf4htvl5jqia.png,1720
"""D.M""",https://patchwiki.biligame.com/images/dwrg/1/11/f4a135jr1efrnkf9knv0ddq07mshya1.png,7420
“白”,https://patchwiki.biligame.com/images/dwrg/0/0f/bj5gj17vv27rhgfd1zd3cqy0gar61d4.png,7828
“黯”,https://patchwiki.biligame.com/images/dwrg/3/39/pm3kv5vyhgd3i76i83twrfjokrmx3ne.png,7829
“加特”,https://patchwiki.biligame.com/images/dwrg/6/6a/akxlvcqpkkrjpwxsvo23n1m1b2jm5fc.png,7927
猩红新娘,https://patchwiki.biligame.com/images/dwrg/6/6c/4sainvskbvejhn1j639lvqj9algt964.png,7220
海盗巫医,https://patchwiki.biligame.com/images/dwrg/c/c7/glt4u7gppze94g2y0uiez3pq3focepp.png,1406
嗜金海怪,https://patchwiki.biligame.com/images/dwrg/3/35/ghesgnkqexmhwy6tlmsyentdz64jqdf.png,3017
温泉煮酒,https://patchwiki.biligame.com/images/dwrg/2/28/meh6sml7lxgk602rif00u5ji818zglf.png,12202
恸哭,https://patchwiki.biligame.com/images/dwrg/2/2e/co93snv1wnt5whupr05pqrd4v7ouxzd.png,8408
金靴,https://patchwiki.biligame.com/images/dwrg/8/8c/39ahfh8pzk0birj7ge2pms9ecx7idf7.png,5907
狛枝凪斗,https://patchwiki.biligame.com/images/dwrg/5/57/7da81ue9w54gmyr7kguf9f0cdkx9z3n.png,2524
瑞吉儿·加德纳,https://patchwiki.biligame.com/images/dwrg/2/24/guw0up1su3lvqnez813i58sumqzosmt.png,11111
七海千秋,https://patchwiki.biligame.com/images/dwrg/c/c6/gps0al3bkdw69v733jme4ihzopr4tel.png,3434
鉴赏家,https://patchwiki.biligame.com/images/dwrg/1/1e/0j5bzppegpt74l7qqp3uwwayu0yj0m6.png,8514
废土旅人,https://patchwiki.biligame.com/images/dwrg/a/af/gimyastdoqamyrgbmhhq3owy8pfbrg3.png,3417
“渊”,https://patchwiki.biligame.com/images/dwrg/8/8f/q8zfarxbv92e3x7v6rkb3h0372kb4yo.png,12002
赎命,https://patchwiki.biligame.com/images/dwrg/3/3b/je6449o6hpeijupx7etgsarib89yfea.png,1413
“假面绅士”,https://patchwiki.biligame.com/images/dwrg/4/4d/2th8eryq1va2wb5vdithff4pxt3js7p.png,2116
“绯”,https://patchwiki.biligame.com/images/dwrg/e/e9/lm3jaxp2637llg9nqzt9l0ssxlfw1ix.png,6845
“温室”,https://patchwiki.biligame.com/images/dwrg/3/3b/k9n5ys1s68bsym8f4p8qj3f3g68re1r.png,7929
麒麟商人,https://patchwiki.biligame.com/images/dwrg/8/8a/34gwgzrpjc76hc9jr8de1ag4pvj2eow.png,6624
红骑士,https://patchwiki.biligame.com/images/dwrg/7/74/ne3yku3zlk36zdgm6eu35torho4ng5o.png,14102
星之王,https://patchwiki.biligame.com/images/dwrg/7/7e/njsbuwru6huvop7w1m783ls5em286e8.png,14303
报社主编,https://patchwiki.biligame.com/images/dwrg/c/c0/0c2nzkhriko0cd0yeo9eo2epy3zw6oc.png,2330
不息载械,https://patchwiki.biligame.com/images/dwrg/f/f5/kzf82rw58sgkldqbv5owreo8nqpbujg.png,6031
糖果少女,https://patchwiki.biligame.com/images/dwrg/4/4b/7rwuza4mtnm9es6l8ridy9q5e5kkph0.png,3431
希望的残像,https://patchwiki.biligame.com/images/dwrg/9/9b/lyvfhn2ibeyrt3dshscrkqm5f1kaexx.png,8527
精致的笑容,https://patchwiki.biligame.com/images/dwrg/4/48/71hrsl3ff5pc32f22ih9o192ajkiefo.png,225
采风的仙灵,https://patchwiki.biligame.com/images/dwrg/7/7a/aub7jvk2vsvd5dq4zm9ccmw1nujdkea.png,14202
昔日的预言者,https://patchwiki.biligame.com/images/dwrg/0/01/ny8hmmfc3fcy17gdosi30aly5k6a2da.png,7836
司药,https://patchwiki.biligame.com/images/dwrg/f/f8/5o8rzt9p64drd7e7rak68j3p0oiygk2.png,1445
福尔摩斯,https://patchwiki.biligame.com/images/dwrg/8/80/bwui2gzpioa5j33tvg9gpc8lp0x4hiq.png,11319
不合时宜的危鲁弗,https://patchwiki.biligame.com/images/dwrg/6/6e/jgfyqwd27d22pyk7r9ajk9m0st28g1m.png,14403